Gen,aveSeqRuleSize,aveRouRuleSize,avePairSize
0,17.0,25.0,21.0
1,21.0,25.0,23.0
2,17.0,35.0,26.0
3,20.0,41.0,30.5
4,21.0,48.0,34.5
5,22.0,48.0,35.0
6,25.0,46.0,35.5
7,27.0,49.0,38.0
8,30.0,49.0,39.5
9,31.0,46.0,38.5
10,33.0,45.0,39.0
11,34.0,47.0,40.5
12,35.0,51.0,43.0
13,37.0,47.0,42.0
14,42.0,54.0,48.0
15,48.0,51.0,49.5
16,50.0,51.0,50.5
17,50.0,56.0,53.0
18,49.0,58.0,53.5
19,47.0,53.0,50.0
20,44.0,54.0,49.0
21,45.0,44.0,44.5
22,47.0,44.0,45.5
23,52.0,38.0,45.0
24,62.0,40.0,51.0
25,74.0,36.0,55.0
26,75.0,43.0,59.0
27,75.0,47.0,61.0
28,74.0,48.0,61.0
29,75.0,45.0,60.0
30,74.0,41.0,57.5
31,74.0,45.0,59.5
32,75.0,43.0,59.0
33,75.0,36.0,55.5
34,75.0,40.0,57.5
35,74.0,44.0,59.0
36,75.0,42.0,58.5
37,74.0,43.0,58.5
38,75.0,39.0,57.0
39,75.0,42.0,58.5
40,76.0,44.0,60.0
41,76.0,45.0,60.5
42,77.0,43.0,60.0
43,77.0,42.0,59.5
44,79.0,42.0,60.5
45,78.0,38.0,58.0
46,77.0,39.0,58.0
47,78.0,36.0,57.0
48,77.0,35.0,56.0
49,77.0,35.0,56.0
50,77.0,36.0,56.5
